Name,Type,SubType,Library
Petrol (average biofuel blend)  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
LPG  kWh (Net CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Burning oil  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Marine fuel oil  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Burning oil  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Marine fuel oil  litres,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
LPG  litres,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Petrol (average biofuel blend)  litres,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Burning oil  litres,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Petrol (average biofuel blend)  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Marine fuel oil  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
LPG  tonnes,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Burning oil  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Naphtha  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
LNG  kWh (Gross CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Marine gas oil  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Aviation turbine fuel  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Naphtha  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
LNG  kWh (Net CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Marine gas oil  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Naphtha  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Aviation turbine fuel  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Marine gas oil  litres,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
LNG  litres,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Lubricants  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Marine gas oil  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Aviation turbine fuel  litres,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
LNG  tonnes,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Lubricants  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Aviation turbine fuel  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Lubricants  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Waste oils  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Aviation spirit  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Waste oils  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Gas oil  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Aviation spirit  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Waste oils  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Gas oil  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Aviation spirit  litres,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Refinery miscellaneous  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
CNG  kWh (Gross CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Aviation spirit  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Refinery miscellaneous  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Gas oil  litres,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Propane  kWh (Gross CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
CNG  kWh (Net CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Refinery miscellaneous  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Gas oil  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
CNG  litres,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Propane  kWh (Net CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Processed fuel oils - distillate oil  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Fuel oil  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Propane  litres,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
CNG  tonnes,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Processed fuel oils - distillate oil  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Fuel oil  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Propane  tonnes,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Butane  kWh (Gross CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Processed fuel oils - distillate oil  litres,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Fuel oil  litres,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Other petroleum gas  kWh (Gross CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Butane  kWh (Net CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Processed fuel oils - distillate oil  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Fuel oil  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Processed fuel oils - residual oil  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Butane  litres,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Other petroleum gas  kWh (Net CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Diesel (100% mineral diesel)  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Processed fuel oils - residual oil  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Butane  tonnes,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Diesel (100% mineral diesel)  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Other petroleum gas  litres,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Processed fuel oils - residual oil  litres,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Distribution - district heat & steam,Transmission and distribution,5% loss,Defra 2022 - Transmission and distribution
T&D- UK electricity,Transmission and distribution,Electricity: UK,Defra 2022 - Transmission and distribution
Motorcycle,,,EPA 2022 - Business travel and employee commuting GHG emission factors
PP-Landfilled,PP,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Diesel (100% mineral diesel) L,Fuel,Liquid Fuel,Defra 2022 - Fuels
Brown Coal Briquettes,,,IPCC 1.A.1 Energy Industries
"Motor vehicles, bodies and trailers, and parts",,,EPA 2022 - Supply chain GHG emission factors - v1.1
Mixed Metals-Combusted,Mixed Metals,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Naphtha L,Fuel,Liquid Fuel,Defra 2022 - Fuels
Marine fuel oil kWh (net CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Poultry-Anaerobically Digested (Dry Digestate with Curing),Poultry,Anaerobically Digested (Dry Digestate with Curing),EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Shale Oil,,,IPCC 1.A.1 Energy Industries
Charcoal,,,IPCC 1.A.1 Energy Industries
Gasoline light-duty trucks 2012,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Natural Gas kWh (gross CV),Fuel,Gaseous Fuel,Defra 2022 - Fuels
Blast furnace gas,Fuel,Other fuels - gaseous,EPA 2022 - Stationary Combustion Fuels
Phonebooks-Recycled,Phonebooks,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Coking coal kWh (net CV),Fuel,Solid Fuel,Defra 2022 - Fuels
Passenger cars-diesel 1996-2006,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Gasoline passenger cars 2008,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Passenger cars-diesel 2007-2018,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Propane metricton,Fuel,Gaseous Fuel,Defra 2022 - Fuels
Lawn and garden equipment-gasoline (4 stroke),Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Tires,Fuel,Other fuels - solid,EPA 2022 - Stationary Combustion Fuels
Natural Gas metricton,Fuel,Gaseous Fuel,Defra 2022 - Fuels
Propane,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Gasoline passenger cars 2017,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Intercity rail - Northeast corridor,,,EPA 2022 - Business travel and employee commuting GHG emission factors
LNG metricton,Fuel,Gaseous Fuel,Defra 2022 - Fuels
Peat,Fuel,Biomass Fuels - Solid,EPA 2022 - Stationary Combustion Fuels in MMBTU
Light-duty trucks-diesel 1960-1982,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
"Air travel - medium haul (>= 300 miles, < 2300 miles)",,,EPA 2022 - Business travel and employee commuting GHG emission factors
Buses-CNG,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Natural gas,Fuel,Natural Gas,EPA 2022 - Stationary Combustion Fuels
Distillate fuel oil no. 2,Fuel,Petroleum products,EPA 2022 - Stationary Combustion Fuels
Fruits and Vegetables-Composted,Fruits and Vegetables,Composted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Beef-Composted,Beef,Composted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Utilities,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Nursing and residential care facilities,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Natural Gas,Fuel,Natural Gas,EPA 2022 - Stationary Combustion Fuels in MMBTU
Natural Gas Liquids (NGLs),,,IPCC 1.A.1 Energy Industries
Aluminum Cans-Recycled,Aluminum Cans,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Burning oil kWh (net CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Passenger Car,Transport Mode,Non-shared load,EPA 2022 - Transportation and distribution
Gasoline light-duty trucks 2016,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Bread-Anaerobically Digested (Wet Digestate with Curing),Bread,Anaerobically Digested (Wet Digestate with Curing),EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Gas Oil,,,IPCC 1.A.1 Energy Industries
SPNO (SPP North),eGRID,Total output,EPA 2022 - eGRID
Medium-duty trucks-LNG,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Heavy-duty trucks-LNG,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Sub-bituminous Coal,Fuel,Coal and Coke,EPA 2022 - Stationary Combustion Fuels in MMBTU
Agricultural Byproducts,Fuel,Biomass fuels - solid,EPA 2022 - Stationary Combustion Fuels
Municipal Wastes (non-biomass fraction),,,IPCC 1.A.1 Energy Industries
Bread-Anaerobically Digested (Dry Digestate with Curing),Bread,Anaerobically Digested (Dry Digestate with Curing),EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Petroleum coke kWh (net CV),Fuel,Solid Fuel,Defra 2022 - Fuels
Dairy Products-Composted,Dairy Products,Composted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Propane,Fuel,Petroleum products,EPA 2022 - Stationary Combustion Fuels
Electronic Peripherals-Combusted,Electronic Peripherals,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Ethane,Fuel,Petroleum products,EPA 2022 - Stationary Combustion Fuels
Yard Trimmings-Anaerobically Digested (Dry Digestate with Curing),Yard Trimmings,Anaerobically Digested (Dry Digestate with Curing),EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Tires-Landfilled,Tires,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Butane L,Fuel,Gaseous Fuel,Defra 2022 - Fuels
Residual Fuel Oil,Fuel,,EPA 2022 - Mobile Combustion Fuels
Tires-Recycled,Tires,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
LDPE-Landfilled,LDPE,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
PRMS (Puerto Rico Miscellaneous),eGRID,Total output,EPA 2022 - eGRID
Petrol (100% mineral petrol) kWh (net CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Kerosene,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Coal (electricity generation - home produced coal only) kWh (net CV),Fuel,Solid Fuel,Defra 2022 - Fuels
Steel Cans-Combusted,Steel Cans,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Mixed Paper (primarily residential)-Combusted,Mixed Paper (primarily residential),Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Solid byproducts,Fuel,Biomass fuels - solid,EPA 2022 - Stationary Combustion Fuels
Burning oil kWh (gross CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Ethane,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Hard-copy Devices-Landfilled,Hard-copy Devices,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Other Liquid Biofuels,,,IPCC 1.A.1 Energy Industries
Gasoline light-duty trucks 2001,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Coke Oven Coke and Lignite Coke,,,IPCC 1.A.1 Energy Industries
Other Primary Solid Biomass,,,IPCC 1.A.1 Energy Industries
Gasoline light-duty trucks 2013,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Gasoline heavy-duty vehicles 1985-86,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Gasoline heavy-duty vehicles 1990-1995,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Ethanol (100%),Fuel,,EPA 2022 - Mobile Combustion Fuels
Gasoline light-duty trucks 1996,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Other real estate,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Gasoline light-duty trucks 2007,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Marine gas oil kWh (gross CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Computer and electronic products,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Yard Trimmings-Composted,Yard Trimmings,Composted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Natural Gas,,,IPCC 1.A.1 Energy Industries
AZNM (WECC Southwest),eGRID,Total output,EPA 2022 - eGRID
Aluminum Ingot-Combusted,Aluminum Ingot,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Educational services,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Phonebooks-Combusted,Phonebooks,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Liquefied Natural Gas (LNG),Fuel,,EPA 2022 - Mobile Combustion Fuels
SRVC (SERC Virginia/Carolina),eGRID,Total output,EPA 2022 - eGRID
Flat-panel Displays-Landfilled,Flat-panel Displays,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Gasoline light-duty trucks 2008,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
AKGD (ASCC Alaska Grid),eGRID,Total output,EPA 2022 - eGRID
Gasoline light-duty trucks 1995,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Gasoline heavy-duty vehicles 2005,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Asphalt Shingles-Combusted,Asphalt Shingles,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
RFCW (RFC West),eGRID,Total output,EPA 2022 - eGRID
Housing,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Oil and gas extraction,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Dairy Products-Combusted,Dairy Products,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Propane L,Fuel,Gaseous Fuel,Defra 2022 - Fuels
Asphalt Shingles-Recycled,Asphalt Shingles,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Coal (electricity generation - home produced coal only) kWh (gross CV),Fuel,Solid Fuel,Defra 2022 - Fuels
Mixed Paper (primarily from offices)-Recycled,Mixed Paper (primarily from offices),Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
SRMW (SERC Midwest),eGRID,Total output,EPA 2022 - eGRID
Coal (electricity generation - home produced coal only) metricton,Fuel,Solid Fuel,Defra 2022 - Fuels
Agricultural offroad trucks-diesel,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Mixed (Electric Power Sector),Fuel,Coal and Coke,EPA 2022 - Stationary Combustion Fuels in MMBTU
Mixed (Industrial Coking),Fuel,Coal and Coke,EPA 2022 - Stationary Combustion Fuels in MMBTU
Textile mills and textile product mills,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Beef-Anaerobically Digested (Wet Digestate with Curing),Beef,Anaerobically Digested (Wet Digestate with Curing),EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Ships and boats-gasoline (2 stroke),Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Propylene,Fuel,Petroleum products,EPA 2022 - Stationary Combustion Fuels
PVC-Landfilled,PVC,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Railroad equipment-gasoline,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Motor Gasoline,Fuel,,EPA 2022 - Mobile Combustion Fuels
MROW (MRO West),eGRID,Total output,EPA 2022 - eGRID
Aviation turbine fuel L,Fuel,Liquid Fuel,Defra 2022 - Fuels
Construction/Mining equipmentB-diesel,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Ambulatory health care services,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Gasoline heavy-duty vehicles 2016,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Mixed Recyclables-Recycled,Mixed Recyclables,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Gasoline heavy-duty vehicles 2017,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Food Waste (non-meat)-Anaerobically Digested (Dry Digestate with Curing),Food Waste (non-meat),Anaerobically Digested (Dry Digestate with Curing),EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Ethane,,,IPCC 1.A.1 Energy Industries
"Other services, except government",,,EPA 2022 - Supply chain GHG emission factors - v1.1
Machinery,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Coal (electricity generation) kWh (net CV),Fuel,Solid Fuel,Defra 2022 - Fuels
Mixed (Industrial Sector),Fuel,Coal and Coke,EPA 2022 - Stationary Combustion Fuels in MMBTU
"Transit rail (i.e. subway, tram)",,,EPA 2022 - Business travel and employee commuting GHG emission factors
Liquefied Petroleum Gases,,,IPCC 1.A.1 Energy Industries
Mixed Paper (primarily residential)-Recycled,Mixed Paper (primarily residential),Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Beef-Landfilled,Beef,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
White Spirit & SBP,,,IPCC 1.A.1 Energy Industries
Propane kWh (net CV),Fuel,Gaseous Fuel,Defra 2022 - Fuels
Aviation spirit metricton,Fuel,Liquid Fuel,Defra 2022 - Fuels
Ships and boats-diesel,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Beef-Anaerobically Digested (Dry Digestate with Curing),Beef,Anaerobically Digested (Dry Digestate with Curing),EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Mixed Paper (primarily from offices)-Combusted,Mixed Paper (primarily from offices),Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Rendered animal fat,Fuel,Biomass fuels - liquid,EPA 2022 - Stationary Combustion Fuels
Gasoline heavy-duty vehicles 2008,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Gasoline passenger cars 2006,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Fuel oil L,Fuel,Liquid Fuel,Defra 2022 - Fuels
Apparel and leather and allied products,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Fiberglass Insulation-Landfilled,Fiberglass Insulation,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Air travel - long haul (>= 2300 miles),,,EPA 2022 - Business travel and employee commuting GHG emission factors
Propane gas,Fuel,Other fuels - gaseous,EPA 2022 - Stationary Combustion Fuels
Mixed (Industrial sector),Fuel,Coal and coke,EPA 2022 - Stationary Combustion Fuels
Other Bituminous Coal,,,IPCC 1.A.1 Energy Industries
Coking Coal,,,IPCC 1.A.1 Energy Industries
Biodiesels,,,IPCC 1.A.1 Energy Industries
Rail,Transport Mode,Shared load,EPA 2022 - Transportation and distribution
Fiberglass Insulation-Recycled,Fiberglass Insulation,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Gasoline heavy-duty vehicles 2006,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Coal (domestic) metricton,Fuel,Solid Fuel,Defra 2022 - Fuels
Isobutane,Fuel,Petroleum products,EPA 2022 - Stationary Combustion Fuels
Gasoline light-duty trucks 1985,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
